Type Designator,Intercept_1,Slope_1,Distance_First_Breakpoint,Intercept_2,Slope_2,Distance_Second_Breakpoint,Intercept_3,Slope_3,Nb_Segments,Source,Last update
A124,5.057,52.593,344,10263.340,22.804,1614,18205.245,17.883,3,ICAO Fuel Formula,2018
A140,0.099,2.368,385,389.414,1.358,1268,702.620,1.111,3,ICAO Fuel Formula,2018
A148,0.842,5.256,373,1126.526,2.236,1448,1694.784,1.843,3,ICAO Fuel Formula,2018
A306,2720.601,5.744,,,,,,,1,CEM based on AO data (from COFdb),2018
A30B,2637.858,5.569,,,,,,,1,Equivalent Aircraft Type,2018
A310,1578.997,5.710,,,,,,,1,CEM based on AO data (from COFdb),2018
A318,695.221,3.516,600,1248.325,2.594,,,,2,CEM based on AO data (from COFdb),2018
A319,803.609,3.819,500,1319.320,2.787,1700,1176.830,2.871,3,CEM based on AO data (from COFdb),2018
A320,777.554,3.950,500,1198.749,3.107,2500,608.492,3.343,3,CEM based on AO data (from COFdb),2018
A321,1155.769,3.654,,,,,,,1,CEM based on AO data (from COFdb),2018
A332,2387.933,5.558,2000,-24.513,6.764,,,,2,CEM based on AO data (from COFdb),2018
A333,2403.982,6.686,,,,,,,1,CEM based on AO data (from COFdb),2018
A342,2429.969,7.942,1000,3403.871,6.968,5000,-3868.264,8.422,3,Equivalent Aircraft Type,2018
A343,2491.162,8.142,1000,3489.590,7.143,5000,-3965.677,8.634,3,CEM based on AO data (from COFdb),2018
A345,3965.458,8.293,3000,-2945.336,10.596,,,,2,Equivalent Aircraft Type,2018
A346,3944.320,8.249,3000,-2929.636,10.540,,,,2,CEM based on AO data (from COFdb),2018
A388,7718.432,12.823,5000,-9700.730,16.307,,,,2,CEM based on AO data (from COFdb),2018
A748,0.000,2.417,386,404.940,1.369,1315,691.103,1.151,3,ICAO Fuel Formula,2018
AN12,39.976,8.816,352,1694.138,4.119,1662,2913.298,3.385,3,ICAO Fuel Formula,2018
AN24,0.262,3.221,202,133.991,2.558,386,583.634,1.394,3,ICAO Fuel Formula,2018
AN28,0.049,1.184,381,188.621,0.690,1078,310.133,0.577,3,ICAO Fuel Formula,2018
AN72,0.842,5.256,374,1132.908,2.226,1564,1800.130,1.799,3,ICAO Fuel Formula,2018
AT43,140.776,1.267,,,,,,,1,Equivalent Aircraft Type,2018
AT45,155.382,1.398,,,,,,,1,CEM based on AO data (from COFdb),2018
AT46,202.796,1.320,,,,,,,1,CEM based on AO data (from COFdb),2018
AT72,184.847,1.356,,,,,,,1,CEM based on AO data (from COFdb),2018
AT73,190.239,1.396,,,,,,,1,Equivalent Aircraft Type,2018
AT75,167.263,1.477,,,,,,,1,Equivalent Aircraft Type,2018
AT76,170.320,1.504,,,,,,,1,CEM based on AO data (from COFdb),2018
ATP,0.089,2.126,384,345.872,1.226,1201,604.743,1.010,3,ICAO Fuel Formula,2018
