id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
4614,BKPR,large_airport,Priština International Airport,42.5728,21.035801,1789,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,,http://www.airportpristina.com/,https://en.wikipedia.org/wiki/Pristina_International_Airport,"LYPR, Pristina, Slatina Air Base"
1717,CYEG,large_airport,Edmonton International Airport,53.30970001,-113.5800018,2373,NA,CA,CA-AB,Edmonton,yes,CYEG,YEG,CYEG,http://www.edmontonairports.com/,https://en.wikipedia.org/wiki/Edmonton_International_Airport,YEA
1770,CYHZ,large_airport,Halifax / Stanfield International Airport,44.88079834,-63.50859833,477,NA,CA,CA-NS,Halifax,yes,CYHZ,YHZ,,http://www.hiaa.ca/,https://en.wikipedia.org/wiki/Halifax_International_Airport,Robert L. Stanfield International Airport
1840,CYOW,large_airport,Ottawa Macdonald-Cartier International Airport,45.32249832,-75.66919708,374,NA,CA,CA-ON,Ottawa,yes,CYOW,YOW,YOW,http://www.ottawa-airport.ca/,https://en.wikipedia.org/wiki/Ottawa_Macdonald-Cartier_International_Airport,"Uplands, UUP, CUUP"
1928,CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,45.47060013,-73.74079895,118,NA,CA,CA-QC,Montréal,yes,CYUL,YUL,YUL,http://www.admtl.com/passager/Home.aspx,https://en.wikipedia.org/wiki/Montr%C3%A9al-Pierre_Elliott_Trudeau_International_Airport,"YMQ, Dorval Airport"
1941,CYVR,large_airport,Vancouver International Airport,49.19390106,-123.1839981,14,NA,CA,CA-BC,Vancouver,yes,CYVR,YVR,,http://www.yvr.ca/,https://en.wikipedia.org/wiki/Vancouver_International_Airport,
1946,CYWG,large_airport,Winnipeg / James Armstrong Richardson International Airport,49.90999985,-97.23989868,783,NA,CA,CA-MB,Winnipeg,yes,CYWG,YWG,YWG,http://www.waa.ca/,https://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport,CFB Winnipeg
1973,CYYC,large_airport,Calgary International Airport,51.11389923,-114.0199966,3557,NA,CA,CA-AB,Calgary,yes,CYYC,YYC,,http://www.calgaryairport.com/,https://en.wikipedia.org/wiki/Calgary_International_Airport,McCall Field
1979,CYYJ,large_airport,Victoria International Airport,48.64690018,-123.4260025,63,NA,CA,CA-BC,Victoria,yes,CYYJ,YYJ,,http://www.victoriaairport.com/,https://en.wikipedia.org/wiki/Victoria_International_Airport,
1986,CYYT,large_airport,St. John's International Airport,47.61859894,-52.75189972,461,NA,CA,CA-NL,St. John's,yes,CYYT,YYT,,http://www.stjohnsairport.com/,https://en.wikipedia.org/wiki/St._John's_International_Airport,
1990,CYYZ,large_airport,Lester B. Pearson International Airport,43.67720032,-79.63059998,569,NA,CA,CA-ON,Toronto,yes,CYYZ,YYZ,YYZ,http://www.gtaa.com/,https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport,"YTO, Toronto International Airport, Malton"
2104,DNAA,large_airport,Nnamdi Azikiwe International Airport,9.006790161,7.263169765,1123,AF,NG,NG-FC,Abuja,yes,DNAA,ABV,,http://www.faannigeria.org/nigeria-airport.php?airport=3,https://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,
309668,DNAI,large_airport,Akwa Ibom International Airport,4.8725,8.093,170,AF,NG,NG-AK,Uyo,yes,DNAI,QUO,,http://www.ibomairport.com.ng/,https://en.wikipedia.org/wiki/Akwa_Ibom_Airport,
2115,DNKN,large_airport,Mallam Aminu International Airport,12.0476,8.52462,1562,AF,NG,NG-KN,Kano,yes,DNKN,KAN,,http://www.faannigeria.org/nigeria-airport.php?airport=2,https://en.wikipedia.org/wiki/Mallam_Aminu_Kano_International_Airport,
2118,DNMM,large_airport,Murtala Muhammed International Airport,6.577370167,3.321160078,135,AF,NG,NG-LA,Lagos,yes,DNMM,LOS,,http://www.faannigeria.org/nigeria-airport.php?airport=1,https://en.wikipedia.org/wiki/Murtala_Mohammed_International_Airport,
2133,DTTA,large_airport,Tunis Carthage International Airport,36.85100174,10.22719955,22,AF,TN,TN-11,Tunis,yes,DTTA,TUN,,http://www.oaca.nat.tn/english/div_horizontal_tunis_airport_eng.htm,https://en.wikipedia.org/wiki/Tunis-Carthage_International_Airport,"Aéroport international de Tunis-Carthage, مطار تونس قرطاج الدولي"
2155,EBBR,large_airport,Brussels Airport,50.90140152,4.48443985,184,EU,BE,BE-BRU,Brussels,yes,EBBR,BRU,,http://www.brusselsairport.be/en/,https://en.wikipedia.org/wiki/Brussels_Airport,
2157,EBCI,large_airport,Brussels South Charleroi Airport,50.459202,4.45382,614,EU,BE,BE-WHT,Brussels,yes,EBCI,CRL,,http://www.charleroi-airport.com/doc.php?nd=o29&tid=29&lg=2&docid=1&site=1,https://en.wikipedia.org/wiki/Brussels_South_Charleroi_Airport,Gosselies Airport
2162,EBLG,large_airport,Liège Airport,50.63740158,5.443220139,659,EU,BE,BE-WLG,Liège,yes,EBLG,LGG,,http://www.liegeairport.be/,https://en.wikipedia.org/wiki/Li%C3%A8ge_Airport,
2209,EDDB,large_airport,Berlin-Schönefeld Airport,52.380001,13.5225,157,EU,DE,DE-BR,Berlin,yes,EDDB,SXF,,http://www.berlin-airport.de/en/travellers-sxf/index.php,https://en.wikipedia.org/wiki/Berlin-Sch%C3%B6nefeld_International_Airport,"BER, Schoenefeld"
2210,EDDC,large_airport,Dresden Airport,51.13280106,13.76720047,755,EU,DE,DE-SN,Dresden,yes,EDDC,DRS,,http://www.dresden-airport.de/en/index.html,https://en.wikipedia.org/wiki/Dresden_Airport,
2212,EDDF,large_airport,Frankfurt am Main Airport,50.033333,8.570556,364,EU,DE,DE-HE,Frankfurt am Main,yes,EDDF,FRA,,http://www.frankfurt-airport.de/,https://en.wikipedia.org/wiki/Frankfurt_Airport,"EDAF, Rhein-Main Air Base"
2214,EDDH,large_airport,Hamburg Airport,53.63040161,9.988229752,53,EU,DE,DE-HH,Hamburg,yes,EDDH,HAM,,https://www.hamburg-airport.de/en/,https://en.wikipedia.org/wiki/Hamburg_Airport,
2216,EDDK,large_airport,Cologne Bonn Airport,50.86589813,7.142739773,302,EU,DE,DE-NW,Cologne,yes,EDDK,CGN,,http://www.koeln-bonn-airport.de/en/,https://en.wikipedia.org/wiki/Cologne_Bonn_Airport,Köln
2217,EDDL,large_airport,Düsseldorf Airport,51.289501,6.76678,147,EU,DE,DE-NW,Düsseldorf,yes,EDDL,DUS,,http://www.dus.com/dus_en/,https://en.wikipedia.org/wiki/D%C3%BCsseldorf_Airport,
2218,EDDM,large_airport,Munich Airport,48.353802,11.7861,1487,EU,DE,DE-BY,Munich,yes,EDDM,MUC,,http://www.munich-airport.com/,https://en.wikipedia.org/wiki/Munich_Airport,"Franz Josef Strauss Airport, Flughafen München Franz Josef Strauß"
2219,EDDN,large_airport,Nuremberg Airport,49.498699,11.078056,1046,EU,DE,DE-BY,Nuremberg,yes,EDDN,NUE,,https://www.airport-nuernberg.de/english,https://en.wikipedia.org/wiki/Nuremberg_Airport,Nürnberg
2220,EDDP,large_airport,Leipzig/Halle Airport,51.423889,12.236389,465,EU,DE,DE-SN,Leipzig,yes,EDDP,LEJ,,http://www.leipzig-halle-airport.de/en/index.html,https://en.wikipedia.org/wiki/Leipzig/Halle_Airport,Schkeuditz Airport
2222,EDDS,large_airport,Stuttgart Airport,48.68989944,9.221960068,1276,EU,DE,DE-BW,Stuttgart,yes,EDDS,STR,,http://www.flughafen-stuttgart.de/,https://en.wikipedia.org/wiki/Stuttgart_Airport,
2223,EDDT,large_airport,Berlin-Tegel Airport,52.5597,13.2877,122,EU,DE,DE-BE,Berlin,yes,EDDT,TXL,,http://www.berlin-airport.de/en/travellers-txl/index.php,https://en.wikipedia.org/wiki/Berlin_Tegel_Airport,"BER, Otto Lilienthal"
2270,EDSB,large_airport,Karlsruhe Baden-Baden Airport,48.77939987,8.080499649,408,EU,DE,DE-BW,Baden-Baden,yes,EDSB,FKB,,http://www.baden-airpark.de/startseite.html,https://en.wikipedia.org/wiki/Baden_Airpark,Baden Airpark
2301,EETN,large_airport,Lennart Meri Tallinn Airport,59.41329956,24.83279991,131,EU,EE,EE-37,Tallinn,yes,EETN,TLL,,http://www.tallinn-airport.ee/eng,https://en.wikipedia.org/wiki/Tallinn_Airport,
2307,EFHK,large_airport,Helsinki Vantaa Airport,60.31719971,24.9633007,179,EU,FI,FI-ES,Helsinki,yes,EFHK,HEL,,http://www.finavia.fi/en/helsinki-airport,https://en.wikipedia.org/wiki/Helsinki-Vantaa_Airport,
